time,displacement
0,1
1.0033445,0.55231005
2.006689,-0.33875632
3.0100336,-0.8466
4.013378,-0.56082785
5.0167227,0.1912768
6.020067,0.70322937
7.0234118,0.54736024
8.026756,-0.0753882
9.030101,-0.57233185
10.033445,-0.51809776
11.03679,-0.013035902
12.040134,0.45528364
13.043479,0.4781766
14.0468235,0.07801684
15.050168,-0.3526082
16.053513,-0.4317753
17.056858,-0.12335689
18.060202,0.26419055
19.063545,0.38221368
20.06689,0.15256408
21.070236,-0.1894416
22.07358,-0.33206004
23.076923,-0.16880138
24.080269,0.12744297
25.083614,0.2832368
26.086958,0.17486678
27.090302,-0.07706662
28.093647,-0.23711915
29.096992,-0.17319131
30.100336,0.037067946
31.10368,0.19462961
32.107025,0.16584614
33.11037,-0.0061592036
34.113716,-0.1563229
35.117058,-0.1545638
36.120403,-0.01693303
37.12375,0.12246229
38.12709,0.14076489
39.130436,0.03342613
40.13378,-0.09308568
41.137127,-0.12559049
42.140472,-0.04445339
43.143814,0.06806324
44.14716,0.10993282
45.150505,0.051047713
46.153847,-0.047145363
47.157192,-0.09446965
48.160538,-0.054128446
49.163883,0.03000283
50.16723,0.07969543
51.17057,0.054500237
52.173916,-0.016258137
53.17726,-0.06595187
54.180603,-0.05285411
55.18395,0.005512895
56.187294,0.053455688
57.19064,0.04977246
58.193985,0.0026335195
59.197327,-0.042323075
60.200672,-0.045737322
61.204018,-0.0085698245
62.20736,0.0325921
63.210705,0.041138653
64.21405,0.012661023
65.21739,-0.024241494
66.22074,-0.036285035
67.22408,-0.015242486
68.22743,0.017207038
69.230774,0.03141384
70.234116,0.016615618
71.237465,-0.011394259
72.24081,-0.026701387
73.24415,-0.017046096
74.2475,0.006690681
75.25084,0.022272512
76.25418,0.016763752
77.25753,-0.0029738208
78.26087,-0.018209644
79.26422,-0.015963754
80.26756,0.000118226206
81.270905,0.014560886
82.274254,0.014809009
83.277596,0.0019992962
84.280945,-0.011347284
85.28429,-0.013432353
86.28763,-0.003495941
87.29098,0.008568897
88.29432,0.011939994
89.29766,0.004480329
90.30101,-0.006210609
91.30435,-0.010414618
92.30769,-0.0050509064
93.31104,0.004246357
94.314384,0.008918571
95.31773,0.0052950713
96.321075,-0.002642968
97.32442,-0.007496996
98.32777,-0.0052891406
99.33111,0.0013631686
100.33446,0.0061806426
101.3378,0.0050983005
102.34114,-0.00036796505
103.34449,-0.0049885465
104.34783,-0.004777337
105.35117,-0.00038153076
106.35452,0.003930451
107.357864,0.004371378
108.361206,0.0009227652
109.364555,-0.0030088187
110.3679,-0.0039168424
111.37125,-0.0012907599
112.37459,0.0022206723
